"EG11_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_008.tcf]","Time(h)","V FC01.1_R [EG11_008]","V FC01.2_R [EG11_008]","V FC04.1_C [EG11_008]","V W999 [EG11_008]"
     107,          1.766667,    6.139,    5.288,    0.000,    0.511
     108,          1.783333,    5.955,    5.288,    0.000,    0.485
     109,          1.800000,    5.762,    5.286,    0.000,    0.455
     110,          1.816667,    5.556,    5.283,    0.000,    0.421
     111,          1.833333,    5.340,    5.279,    0.000,    0.381
     112,          1.850000,    5.112,    5.273,    0.000,    0.333
     113,          1.866667,    4.876,    5.265,    0.000,    0.271
     114,          1.883333,    3.777,    5.255,    0.000,    0.181
     115,          1.900000,    3.698,    5.242,    0.000,    0.000
     116,          1.916667,    3.628,    5.226,    0.000,    0.000
     117,          1.933333,    3.567,    5.209,    0.000,    0.000
     118,          1.950000,    3.515,    5.190,    0.000,    0.000
     119,          1.966667,    3.472,    5.169,    0.000,    0.000
     120,          1.983333,    3.435,    5.146,    0.000,    0.000
     121,          2.000000,    3.403,    5.121,    0.000,    0.000
     122,          2.016667,    3.376,    5.095,    0.000,    0.000
     123,          2.033334,    3.350,    5.067,    0.000,    0.000
     124,          2.050000,    3.324,    5.038,    0.000,    0.000
     125,          2.066667,    3.298,    5.007,    0.000,    0.000
     126,          2.083333,    3.271,    4.976,    0.000,    0.000
     127,          2.100000,    3.244,    4.943,    0.000,    0.000
     128,          2.116667,    3.214,    4.909,    0.000,    0.000
     129,          2.133333,    3.183,    4.874,    0.000,    0.000
     130,          2.150000,    3.149,    4.837,    0.000,    0.000
     131,          2.166667,    3.114,    4.799,    0.000,    0.000
     132,          2.183333,    3.080,    4.759,    0.000,    0.000
     133,          2.200000,    3.043,    4.717,    0.000,    0.000
     134,          2.216667,    3.012,    4.673,    0.000,    0.000
     135,          2.233333,    2.987,    4.627,    0.000,    0.000
     136,          2.250000,    2.965,    4.577,    0.000,    0.000
     137,          2.266667,    2.945,    4.525,    0.000,    0.000
     138,          2.283334,    2.928,    4.469,    0.000,    0.000
     139,          2.300000,    2.910,    4.409,    0.000,    0.000
     140,          2.316667,    2.890,    4.347,    0.000,    0.000
     141,          2.333333,    2.872,    4.281,    0.000,    0.000
     142,          2.350000,    2.851,    4.210,    0.000,    0.000
     143,          2.366667,    2.834,    4.134,    0.000,    0.000
     144,          2.383333,    2.813,    4.053,    0.000,    0.000
     145,          2.400000,    2.795,    3.964,    0.000,    0.000
     146,          2.416667,    2.777,    3.868,    0.000,    0.000
     147,          2.433333,    2.760,    3.761,    0.000,    0.000
     148,          2.450000,    2.746,    3.640,    0.000,    0.000
     149,          2.466667,    2.731,    3.502,    0.000,    0.000
     150,          2.483333,    2.713,    3.350,    0.000,    0.000
     151,          2.500000,    2.692,    3.187,    0.000,    0.000
     152,          2.516667,    2.671,    3.012,    0.000,    0.000
     153,          2.533334,    2.648,    2.823,    0.000,    0.000
     154,          2.550000,    2.628,    2.621,    0.000,    0.000
     155,          2.566667,    2.606,    2.407,    0.000,    0.000
     156,          2.583333,    2.582,    2.181,    0.000,    0.000
     157,          2.600000,    2.555,    1.943,    0.000,    0.000
     158,          2.616667,    2.531,    1.703,    0.000,    0.000
     159,          2.633333,    2.509,    1.511,    0.000,    0.000
     160,          2.650000,    2.490,    1.401,    0.000,    0.000
     161,          2.666667,    2.468,    1.322,    0.000,    0.000
     162,          2.683333,    2.446,    1.265,    0.000,    0.000
     163,          2.700000,    2.426,    1.212,    0.000,    0.000
     164,          2.716667,    2.403,    1.167,    0.000,    0.000
     165,          2.733334,    2.379,    1.135,    0.000,    0.000
     166,          2.750000,    2.354,    1.096,    0.000,    0.000
     167,          2.766667,    2.328,    1.064,    0.000,    0.000
