"EG11_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_008.tcf]","Time (h)","Q FC01.1_R [EG11_008]","Q FC01.2_R [EG11_008]","Q FC04.1_C [EG11_008]","Q W999 [EG11_008]"
     107,          1.766667,          35.804,          45.691,           0.000,           2.040
     108,          1.783333,          34.728,          45.686,           0.000,           1.589
     109,          1.800000,          33.601,          45.671,           0.000,           1.186
     110,          1.816667,          32.404,          45.646,           0.000,           0.832
     111,          1.833333,          31.142,          45.608,           0.000,           0.528
     112,          1.850000,          29.815,          45.556,           0.000,           0.268
     113,          1.866667,          28.439,          45.488,           0.000,           0.096
     114,          1.883333,          26.693,          45.399,           0.000,           0.013
     115,          1.900000,          25.041,          45.287,           0.000,           0.000
     116,          1.916667,          23.648,          45.155,           0.000,           0.000
     117,          1.933333,          22.484,          45.006,           0.000,           0.000
     118,          1.950000,          21.514,          44.840,           0.000,           0.000
     119,          1.966667,          20.728,          44.657,           0.000,           0.000
     120,          1.983333,          20.076,          44.458,           0.000,           0.000
     121,          2.000000,          19.529,          44.245,           0.000,           0.000
     122,          2.016667,          19.068,          44.017,           0.000,           0.000
     123,          2.033334,          18.627,          43.778,           0.000,           0.000
     124,          2.050000,          18.201,          43.528,           0.000,           0.000
     125,          2.066667,          17.774,          43.265,           0.000,           0.000
     126,          2.083333,          17.341,          42.994,           0.000,           0.000
     127,          2.100000,          16.904,          42.711,           0.000,           0.000
     128,          2.116667,          16.451,          42.416,           0.000,           0.000
     129,          2.133333,          15.975,          42.111,           0.000,           0.000
     130,          2.150000,          15.475,          41.794,           0.000,           0.000
     131,          2.166667,          14.961,          41.463,           0.000,           0.000
     132,          2.183333,          14.467,          41.119,           0.000,           0.000
     133,          2.200000,          13.956,          40.756,           0.000,           0.000
     134,          2.216667,          13.540,          40.376,           0.000,           0.000
     135,          2.233333,          13.200,          39.973,           0.000,           0.000
     136,          2.250000,          12.909,          39.548,           0.000,           0.000
     137,          2.266667,          12.657,          39.092,           0.000,           0.000
     138,          2.283334,          12.435,          38.608,           0.000,           0.000
     139,          2.300000,          12.201,          38.094,           0.000,           0.000
     140,          2.316667,          11.960,          37.555,           0.000,           0.000
     141,          2.333333,          11.734,          36.986,           0.000,           0.000
     142,          2.350000,          11.481,          36.375,           0.000,           0.000
     143,          2.366667,          11.271,          35.721,           0.000,           0.000
     144,          2.383333,          11.028,          35.016,           0.000,           0.000
     145,          2.400000,          10.813,          34.253,           0.000,           0.000
     146,          2.416667,          10.608,          33.418,           0.000,           0.000
     147,          2.433333,          10.420,          32.492,           0.000,           0.000
     148,          2.450000,          10.258,          31.447,           0.000,           0.000
     149,          2.466667,          10.094,          30.256,           0.000,           0.000
     150,          2.483333,           9.889,          28.944,           0.000,           0.000
     151,          2.500000,           9.665,          27.533,           0.000,           0.000
     152,          2.516667,           9.435,          26.023,           0.000,           0.000
     153,          2.533334,           9.200,          24.393,           0.000,           0.000
     154,          2.550000,           8.989,          22.650,           0.000,           0.000
     155,          2.566667,           8.768,          20.792,           0.000,           0.000
     156,          2.583333,           8.527,          18.841,           0.000,           0.000
     157,          2.600000,           8.266,          16.789,           0.000,           0.000
