No,Node,Bed Level,Top Level,nChannels,Channels
     3,"FC01.1_R.1",      44.599,      51.524,    1,"FC01.1_R"
     4,"FC01.1_R.2",      44.499,      51.424,    1,"FC01.1_R"
     5,"FC01.2_R.1",      37.599,      43.883,    1,"FC01.2_R"
     6,"FC01.2_R.2",      37.499,      43.783,    1,"FC01.2_R"
     1,"FC04.1_C.1",      43.349,      49.497,    1,"FC04.1_C"
     2,"FC04.1_C.2",      42.749,      48.897,    1,"FC04.1_C"
