No,Node,Bed Level,Top Level,nChannels,Channels
     5,"FC01.1_R.1",      45.399,      52.324,    1,"FC01.1_R"
     6,"FC01.1_R.2",      44.499,      51.424,    1,"FC01.1_R"
     1,"FC04.1_C.1",      43.349,      49.633,    1,"FC04.1_C"
     2,"FC04.1_C.2",      42.749,      49.033,    1,"FC04.1_C"
     3,"SP_001.1",      41.999,      47.000,    1,"SP_001"
     4,"SP_001.2",      41.999,      47.000,    1,"SP_001"
