"EG11_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_009.tcf]","Time (h)","Q FC01.1_R [EG11_009]","Q FC01.2_R [EG11_009]","Q FC04.1_C [EG11_009]","Q Pump_001 [EG11_009]"
     106,          1.750000,          36.829,          62.722,           0.000,           0.011
     107,          1.766667,          35.804,          62.132,           0.000,           0.011
     108,          1.783333,          34.728,          61.511,           0.000,           0.011
     109,          1.800000,          33.601,          60.861,           0.000,           0.011
     110,          1.816667,          32.403,          60.174,           0.000,           0.011
     111,          1.833333,          31.142,          59.449,           0.000,           0.011
     112,          1.850000,          29.815,          58.675,           0.000,           0.011
     113,          1.866667,          28.438,          57.844,           0.000,           0.011
     114,          1.883333,          26.692,          56.948,           0.000,           0.011
     115,          1.900000,          25.039,          55.977,           0.000,           0.011
     116,          1.916667,          23.646,          54.917,           0.000,           0.011
     117,          1.933333,          22.482,          53.771,           0.000,           0.011
     118,          1.950000,          21.512,          52.527,           0.000,           0.011
     119,          1.966667,          20.727,          51.174,           0.000,           0.011
     120,          1.983333,          20.075,          49.689,           0.000,           0.011
     121,          2.000000,          19.528,          48.052,           0.000,           0.011
     122,          2.016667,          19.066,          46.232,           0.000,           0.011
     123,          2.033334,          18.626,          44.237,           0.000,           0.011
     124,          2.050000,          18.200,          42.033,           0.000,           0.011
     125,          2.066667,          17.772,          39.672,           0.000,           0.011
     126,          2.083333,          17.339,          37.247,           0.000,           0.011
     127,          2.100000,          16.901,          34.777,           0.000,           0.011
     128,          2.116667,          16.451,          32.382,           0.000,           0.011
     129,          2.133333,          15.974,          30.085,           0.000,           0.010
     130,          2.150000,          15.475,          27.907,           0.000,           0.010
     131,          2.166667,          14.960,          25.876,           0.000,           0.010
     132,          2.183333,          14.465,          24.064,           0.000,           0.010
     133,          2.200000,          13.955,          22.444,           0.000,           0.010
     134,          2.216667,          13.539,          21.057,           0.000,           0.010
     135,          2.233333,          13.200,          19.913,           0.000,           0.010
     136,          2.250000,          12.908,          18.911,           0.000,           0.010
     137,          2.266667,          12.657,          18.093,           0.000,           0.010
     138,          2.283334,          12.434,          17.414,           0.000,           0.010
     139,          2.300000,          12.202,          16.819,           0.000,           0.010
     140,          2.316667,          11.976,          16.276,           0.000,           0.010
     141,          2.333333,          11.733,          15.784,           0.000,           0.010
     142,          2.350000,          11.479,          15.337,           0.000,           0.010
     143,          2.366667,          11.269,          14.929,           0.000,           0.010
     144,          2.383333,          11.025,          14.582,           0.000,           0.010
     145,          2.400000,          10.814,          14.235,           0.000,           0.010
     146,          2.416667,          10.608,          13.899,           0.000,           0.010
     147,          2.433333,          10.418,          13.568,           0.000,           0.010
     148,          2.450000,          10.256,          13.259,           0.000,           0.010
     149,          2.466667,          10.093,          12.977,           0.000,           0.010
     150,          2.483333,           9.889,          12.719,           0.000,           0.010
     151,          2.500000,           9.661,          12.465,           0.000,           0.010
     152,          2.516667,           9.433,          12.219,           0.000,           0.010
     153,          2.533334,           9.199,          11.979,           0.000,           0.010
     154,          2.550000,           8.987,          11.761,           0.000,           0.010
     155,          2.566667,           8.767,          11.572,           0.000,           0.000
     156,          2.583333,           8.528,          11.359,           0.000,           0.000
     157,          2.600000,           8.266,          11.193,           0.000,           0.000
     158,          2.616667,           8.027,          10.944,           0.000,           0.000
     159,          2.633333,           7.817,          10.709,           0.000,           0.000
     160,          2.650000,           7.646,          10.484,           0.000,           0.000
     161,          2.666667,           7.444,          10.260,           0.000,           0.000
     162,          2.683333,           7.253,          10.046,           0.000,           0.000
     163,          2.700000,           7.069,           9.815,           0.000,           0.000
     164,          2.716667,           6.876,           9.582,           0.000,           0.000
     165,          2.733334,           6.671,           9.373,           0.000,           0.000
     166,          2.750000,           6.465,           9.160,           0.000,           0.000
     167,          2.766667,           6.251,           8.962,           0.000,           0.000
     168,          2.783334,           6.072,           8.811,           0.000,           0.000
     169,          2.800000,           5.830,           8.587,           0.000,           0.000
     170,          2.816667,           5.579,           8.372,           0.000,           0.000
     171,          2.833333,           5.331,           1.377,           0.000,           0.000
     172,          2.850000,           5.080,          16.984,           0.000,           0.000
     173,          2.866667,           4.828,           1.706,           0.000,           0.000
     174,          2.883333,           4.584,           1.069,           0.000,           0.000
     175,          2.900000,           4.336,           1.389,           0.000,           0.000
     176,          2.916667,           4.094,           1.004,           0.000,           0.000
     177,          2.933333,           3.851,          12.870,           0.000,           0.000
     178,          2.950000,           3.631,           0.964,           0.000,           0.000
     179,          2.966667,           3.423,          15.113,           0.000,           0.000
     180,          2.983334,           3.248,          15.178,           0.000,           0.000
     181,          3.000000,           3.068,          15.787,           0.000,           0.000
