"FC01.1_R.1                          ","Node","H_","P"
"FC01.1_R.2                          ","Node","H_","P"
"FC04.1_C.1                          ","Node","H_","P"
"FC04.1_C.2                          ","Node","H_","P"
"SP_001.1                            ","Node","H_","P"
"SP_001.2                            ","Node","H_","P"
"FC01.1_R                            ","Chan [R]","Q_V_","L"
"FC04.1_C                            ","Chan [C]","Q_V_","L"
"SP_001                              ","Chan [SP]","Q_V_","L"
