"M04_5m_001","Location","Flow","Structure Flow","Water Level","Velocity","U/S Structure Water Level","D/S Structure Water Level"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_04\Complete_Model\TUFLOW\runs\M04_5m_001.tcf","Time","Loc1_L","Bridge","Loc1_P","Loc1_P","Bridge","Bridge"
,        1.133333,         94.9543,         96.4081,         42.3811,          1.0000,         40.9471,         40.7521
,        1.150000,         94.2608,         96.1131,         42.3775,          0.9975,         40.9447,         40.7506
,        1.166667,         93.3269,         95.6933,         42.3726,          0.9940,         40.9408,         40.7483
,        1.183333,         92.2517,         95.1412,         42.3666,          0.9902,         40.9354,         40.7447
,        1.200000,         91.0533,         94.3977,         42.3596,          0.9860,         40.9282,         40.7405
,        1.216667,         89.7747,         93.4377,         42.3519,          0.9817,         40.9194,         40.7347
,        1.233333,         88.4165,         92.4181,         42.3434,          0.9772,         40.9091,         40.7281
,        1.250000,         86.9308,         91.1923,         42.3341,          0.9723,         40.8976,         40.7204
,        1.266667,         85.3486,         89.9575,         42.3239,          0.9670,         40.8839,         40.7119
,        1.283333,         83.7132,         88.6642,         42.3131,          0.9617,         40.8688,         40.7023
,        1.300000,         82.0203,         87.0951,         42.3016,          0.9563,         40.8537,         40.6920
,        1.316667,         80.2247,         85.5091,         42.2892,          0.9505,         40.8376,         40.6810
,        1.333333,         78.2936,         83.7290,         42.2759,          0.9444,         40.8212,         40.6692
,        1.350000,         76.2426,         82.1488,         42.2613,          0.9380,         40.8021,         40.6561
,        1.366667,         74.0820,         80.3494,         42.2454,          0.9312,         40.7816,         40.6431
,        1.383333,         71.9239,         78.3054,         42.2287,          0.9250,         40.7610,         40.6282
,        1.400000,         69.7494,         76.3356,         42.2113,          0.9185,         40.7398,         40.6128
,        1.416667,         67.6014,         74.2108,         42.1934,          0.9122,         40.7171,         40.5959
,        1.433333,         65.5311,         72.0862,         42.1754,          0.9065,         40.6939,         40.5784
,        1.450000,         63.3943,         69.9714,         42.1562,          0.9000,         40.6703,         40.5601
,        1.466667,         61.3367,         67.8664,         42.1375,          0.8947,         40.6464,         40.5410
,        1.483333,         59.1831,         65.7466,         42.1171,          0.8881,         40.6225,         40.5214
,        1.500000,         57.0987,         63.6939,         42.0964,          0.8822,         40.5979,         40.5011
,        1.516667,         55.0518,         61.4557,         42.0753,          0.8766,         40.5726,         40.4800
,        1.533333,         53.0048,         59.3737,         42.0534,          0.8703,         40.5470,         40.4581
,        1.550000,         51.0256,         57.3506,         42.0311,          0.8650,         40.5207,         40.4355
,        1.566667,         48.9620,         55.4458,         42.0083,          0.8555,         40.4944,         40.4112
,        1.583333,         47.0749,         53.7342,         41.9853,          0.8473,         40.4673,         40.3883
,        1.600000,         45.3017,         51.0573,         41.9622,          0.8429,         40.4398,         40.3627
,        1.616667,         43.5244,         49.5908,         41.9390,          0.8417,         40.4084,         40.3386
,        1.633333,         41.7366,         47.9414,         41.9143,          0.8372,         40.3767,         40.3083
,        1.650000,         40.0699,         46.1586,         41.8896,          0.8331,         40.3442,         40.2803
,        1.666667,         38.5855,         44.2463,         41.8657,          0.8314,         40.3111,         40.2497
,        1.683333,         37.2189,         42.7395,         41.8420,          0.8294,         40.2765,         40.2180
,        1.700000,         35.9766,         41.0133,         41.8192,          0.8288,         40.2410,         40.1850
,        1.716667,         34.8238,         39.7079,         41.7971,          0.8274,         40.2052,         40.1516
,        1.733333,         33.7704,         38.1496,         41.7757,          0.8258,         40.1691,         40.1176
,        1.750000,         32.7783,         37.0465,         41.7546,          0.8244,         40.1329,         40.0832
