iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
8200,       2711.083,0.143982,0.143875,0.168915,0.446472,0.300003,98.9038
8300,       2725.443,0.143748,0.143392,0.168671,0.445831,0.300003,98.9087
8400,       2739.782,0.143537,0.143392,0.168442,0.445251,0.300003,98.9135
8500,       2754.058,0.143326,0.14148,0.168213,0.444672,0.300003,98.9167
8600,       2768.290,0.143108,0.142845,0.167984,0.444046,0.300003,98.9191
8700,       2782.575,0.142897,0.142845,0.16774,0.443436,0.300003,98.9241
8800,       2796.814,0.142687,0.142244,0.167511,0.442825,0.300003,98.9281
8900,       2811.039,0.14247,0.142244,0.167267,0.4422,0.300003,98.9324
9000,       2825.261,0.142253,0.14218,0.167023,0.441574,0.300003,98.9373
9100,       2839.451,0.14203,0.141781,0.166763,0.440918,0.300003,98.9417
9200,       2853.629,0.141814,0.141781,0.166519,0.440277,0.300003,98.9465
9300,       2867.738,0.141612,0.140942,0.16629,0.439682,0.300003,98.9495
9400,       2881.835,0.141397,0.141176,0.166061,0.439056,0.300003,98.9528
9500,       2895.953,0.141182,0.141176,0.165848,0.438416,0.300003,98.9576
9600,       2910.027,0.140974,0.14072,0.16568,0.437805,0.300003,98.9614
9700,       2924.099,0.14076,0.14072,0.165497,0.437164,0.300003,98.9659
9800,       2938.051,0.140553,0.139238,0.165329,0.436539,0.300003,98.967
9900,       2952.057,0.140346,0.140186,0.165176,0.435928,0.300003,98.9706
10000,       2966.062,0.140133,0.139663,0.164993,0.435303,0.300003,98.9749
10100,       2980.028,0.139927,0.139663,0.16481,0.434677,0.300003,98.9784
10200,       2993.995,0.139735,0.139663,0.164658,0.434113,0.300003,98.9827
10300,       3007.954,0.139665,0.139535,0.164642,0.433929,0.300003,98.987
10400,       3021.907,0.139608,0.139535,0.164642,0.433777,0.300003,98.9914
10500,       3035.861,0.139559,0.139535,0.164642,0.43364,0.300003,98.9958
10600,       3049.750,0.139503,0.138516,0.164627,0.433487,0.300003,98.9983
10700,       3063.620,0.139447,0.139211,0.164597,0.433334,0.300003,99.0004
10800,       3077.541,0.13939,0.139211,0.164566,0.433167,0.300003,99.0042
10900,       3091.462,0.139341,0.139211,0.164536,0.433029,0.300003,99.0082
11000,       3105.383,0.139278,0.139211,0.16449,0.432846,0.299988,99.0123
11100,       3119.304,0.139222,0.139211,0.164444,0.432678,0.300003,99.0166
11200,       3133.197,0.139159,0.13888,0.164398,0.432495,0.300003,99.0201
11300,       3147.085,0.139103,0.13888,0.164352,0.432327,0.300003,99.0237
11400,       3160.974,0.139047,0.13888,0.164322,0.432175,0.300003,99.0274
11500,       3174.862,0.138991,0.13888,0.164276,0.432007,0.300003,99.0312
11600,       3188.750,0.138928,0.138889,0.164215,0.431824,0.299988,99.0352
11700,       3202.625,0.138872,0.138426,0.164169,0.431656,0.300003,99.0389
11800,       3216.468,0.138816,0.138426,0.164124,0.431488,0.300003,99.0417
11900,       3230.310,0.13876,0.138426,0.164078,0.43132,0.300003,99.0447
12000,       3244.157,0.138704,0.138568,0.164032,0.431152,0.300003,99.048
12100,       3258.014,0.138648,0.138568,0.163986,0.430984,0.300003,99.0517
12200,       3271.871,0.138585,0.138568,0.16394,0.430801,0.299988,99.0556
12300,       3285.673,0.138529,0.137762,0.163879,0.430634,0.300003,99.0579
12400,       3299.449,0.138473,0.137762,0.163834,0.430466,0.300003,99.0596
12500,       3313.272,0.138417,0.138249,0.163788,0.430298,0.300003,99.0629
12600,       3327.097,0.138418,0.138249,0.163803,0.430313,0.299988,99.0663
12700,       3340.922,0.138446,0.138249,0.163864,0.430405,0.299988,99.0696
12800,       3354.747,0.138475,0.138249,0.16391,0.430511,0.299988,99.0728
12900,       3368.571,0.138504,0.138249,0.163956,0.430603,0.299988,99.0759
13000,       3382.396,0.138532,0.138249,0.164001,0.430695,0.299988,99.0788
13100,       3396.221,0.138561,0.138249,0.164032,0.430771,0.299988,99.0817
13200,       3410.046,0.13859,0.138249,0.164062,0.430862,0.299988,99.0845
13300,       3423.880,0.138618,0.138568,0.164093,0.430954,0.299988,99.0874
13400,       3437.737,0.138647,0.138568,0.164124,0.431046,0.300003,99.0909
13500,       3451.594,0.138676,0.138568,0.164169,0.431137,0.300003,99.0942
13600,       3465.450,0.138705,0.138568,0.166229,0.431213,0.300003,99.0975
13700,       3479.307,0.138733,0.138568,0.168152,0.431305,0.300003,99.1007
13800,       3493.164,0.138755,0.138568,0.169968,0.431366,0.299988,99.1037
13900,       3507.021,0.138784,0.138568,0.171692,0.431458,0.300003,99.1067
14000,       3520.878,0.138812,0.138568,0.173355,0.431549,0.300003,99.1096
14100,       3534.734,0.138841,0.138568,0.174988,0.431625,0.300003,99.1123
14200,       3548.591,0.138863,0.138568,0.17659,0.431686,0.299988,99.115
14300,       3562.448,0.138892,0.138568,0.178162,0.431778,0.300003,99.1176
14400,       3576.305,0.13892,0.138568,0.179657,0.43187,0.300003,99.12
14500,       3590.162,0.138949,0.138568,0.181046,0.431946,0.300003,99.1224
14600,       3604.028,0.138978,0.138889,0.182251,0.432037,0.300003,99.125
14700,       3617.917,0.139106,0.138889,0.183441,0.432434,0.300003,99.1279
