"M08_10m_EXG_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\runs\M08_~s1~_~s2~_002.tcf]","Time (h)","H Loc1_P [M08_10m_EXG_002]"
           1,        0.000000,         39.0041
           2,        0.016667,         39.0041
           3,        0.033333,         39.0041
           4,        0.050000,         39.0041
           5,        0.066667,         39.0041
           6,        0.083333,         39.0041
           7,        0.100000,         39.0041
           8,        0.116667,         39.0041
           9,        0.133333,         39.0041
          10,        0.150000,         39.0041
          11,        0.166667,         39.0041
          12,        0.183333,         39.0041
          13,        0.200000,         39.0041
          14,        0.216667,         39.0041
          15,        0.233333,         39.0041
          16,        0.250000,         39.0041
          17,        0.266667,         39.0041
          18,        0.283333,         39.0041
          19,        0.300000,         39.0041
          20,        0.316667,         39.0041
          21,        0.333333,         39.0041
          22,        0.350000,         39.0041
          23,        0.366667,         39.0041
          24,        0.383333,         39.0041
          25,        0.400000,         39.0041
          26,        0.416667,         39.0041
          27,        0.433333,         39.0041
          28,        0.450000,         39.0041
          29,        0.466667,         39.0041
          30,        0.483333,         39.0041
          31,        0.500000,         39.0041
          32,        0.516667,         39.0041
          33,        0.533333,         39.0041
          34,        0.550000,         39.0041
          35,        0.566667,         39.0041
          36,        0.583333,         39.0041
          37,        0.600000,         39.0041
          38,        0.616667,         39.0041
          39,        0.633333,         39.0081
          40,        0.650000,         39.1281
          41,        0.666667,         39.1911
          42,        0.683333,         39.2090
          43,        0.700000,         40.2063
          44,        0.716667,         41.2493
          45,        0.733333,         41.6898
          46,        0.750000,         41.9403
          47,        0.766667,         42.0813
          48,        0.783333,         42.1663
          49,        0.800000,         42.2299
          50,        0.816667,         42.2890
          51,        0.833333,         42.3592
          52,        0.850000,         42.4514
          53,        0.866667,         42.5545
          54,        0.883333,         42.6611
          55,        0.900000,         42.7626
          56,        0.916667,         42.8531
          57,        0.933333,         42.9351
          58,        0.950000,         43.0001
          59,        0.966667,         43.0529
          60,        0.983333,         43.0937
          61,        1.000000,         43.1244
          62,        1.016667,         43.1481
          63,        1.033333,         43.1657
          64,        1.050000,         43.1785
          65,        1.066667,         43.1884
          66,        1.083333,         43.1950
          67,        1.100000,         43.1999
          68,        1.116667,         43.2030
          69,        1.133333,         43.2048
          70,        1.150000,         43.2055
          71,        1.166667,         43.2051
          72,        1.183333,         43.2038
          73,        1.200000,         43.2018
          74,        1.216667,         43.1993
          75,        1.233333,         43.1966
          76,        1.250000,         43.1930
          77,        1.266667,         43.1894
          78,        1.283333,         43.1850
          79,        1.300000,         43.1803
          80,        1.316667,         43.1754
          81,        1.333333,         43.1700
          82,        1.350000,         43.1644
          83,        1.366667,         43.1581
          84,        1.383333,         43.1517
          85,        1.400000,         43.1451
          86,        1.416667,         43.1384
          87,        1.433333,         43.1314
          88,        1.450000,         43.1244
          89,        1.466667,         43.1175
          90,        1.483333,         43.1103
          91,        1.500000,         43.1033
          92,        1.516667,         43.0959
          93,        1.533333,         43.0888
          94,        1.550000,         43.0819
          95,        1.566667,         43.0746
          96,        1.583333,         43.0678
          97,        1.600000,         43.0607
          98,        1.616667,         43.0537
          99,        1.633333,         43.0467
         100,        1.650000,         43.0399
         101,        1.666667,         43.0335
         102,        1.683333,         43.0274
         103,        1.700000,         43.0214
         104,        1.716667,         43.0160
         105,        1.733333,         43.0108
         106,        1.750000,         43.0057
         107,        1.766667,         43.0009
         108,        1.783333,         42.9961
         109,        1.800000,         42.9914
         110,        1.816667,         42.9869
         111,        1.833333,         42.9825
         112,        1.850000,         42.9783
         113,        1.866667,         42.9743
         114,        1.883333,         42.9707
         115,        1.900000,         42.9671
         116,        1.916667,         42.9640
         117,        1.933333,         42.9609
         118,        1.950000,         42.9580
         119,        1.966667,         42.9554
         120,        1.983333,         42.9529
         121,        2.000000,         42.9506
         122,        2.016667,         42.9483
         123,        2.033333,         42.9462
         124,        2.050000,         42.9442
         125,        2.066667,         42.9423
         126,        2.083333,         42.9404
         127,        2.100000,         42.9384
         128,        2.116667,         42.9366
         129,        2.133333,         42.9346
         130,        2.150000,         42.9325
         131,        2.166667,         42.9305
         132,        2.183333,         42.9283
         133,        2.200000,         42.9260
         134,        2.216667,         42.9237
         135,        2.233333,         42.9213
         136,        2.250000,         42.9189
         137,        2.266667,         42.9165
         138,        2.283333,         42.9142
         139,        2.300000,         42.9119
         140,        2.316667,         42.9096
         141,        2.333333,         42.9075
         142,        2.350000,         42.9054
         143,        2.366667,         42.9034
         144,        2.383333,         42.9014
         145,        2.400000,         42.8995
         146,        2.416667,         42.8976
         147,        2.433333,         42.8957
         148,        2.450000,         42.8939
         149,        2.466667,         42.8922
         150,        2.483333,         42.8911
         151,        2.500000,         42.8889
         152,        2.516667,         42.8876
         153,        2.533333,         42.8861
         154,        2.550000,         42.8841
         155,        2.566667,         42.8827
         156,        2.583333,         42.8814
         157,        2.600000,         42.8794
         158,        2.616667,         42.8774
         159,        2.633333,         42.8758
         160,        2.650000,         42.8737
         161,        2.666667,         42.8717
         162,        2.683333,         42.8700
         163,        2.700000,         42.8681
         164,        2.716667,         42.8662
         165,        2.733333,         42.8645
         166,        2.750000,         42.8627
         167,        2.766667,         42.8609
         168,        2.783333,         42.8591
         169,        2.800000,         42.8573
         170,        2.816667,         42.8556
         171,        2.833333,         42.8538
         172,        2.850000,         42.8522
         173,        2.866667,         42.8504
         174,        2.883333,         42.8486
         175,        2.900000,         42.8468
         176,        2.916667,         42.8449
         177,        2.933333,         42.8428
         178,        2.950000,         42.8408
         179,        2.966667,         42.8388
         180,        2.983333,         42.8367
         181,        3.000000,         42.8345

